date,Resting heart rate,HRV
21.08.24,60,33
22.08.24,59,36
23.08.24,58,43
24.08.24,55,46
25.08.24,60,36
26.08.24,62,35
27.08.24,55,42
28.08.24,57,37
29.08.24,52,50
30.08.24,54,49
31.08.24,54,50
01.09.24,53,49
02.09.24,55,47
03.09.24,53,47
04.09.24,57,44
05.09.24,56,48
06.09.24,57,42
07.09.24,58,35
08.09.24,58,35
09.09.24,58,37
10.09.24,61,28
11.09.24,61,32
12.09.24,61,34
13.09.24,57,38
14.09.24,61,36
15.09.24,59,39
16.09.24,61,26
17.09.24,56,43
18.09.24,60,33
19.09.24,57,45
20.09.24,59,37
21.09.24,61,37
22.09.24,57,39
23.09.24,61,33
24.09.24,58,39
25.09.24,57,44
26.09.24,61,33
27.09.24,54,42
28.09.24,61,33
29.09.24,61,36
30.09.24,61,36
01.10.24,58,42
02.10.24,56,35
03.10.24,55,43
04.10.24,55,40